taxon	sequenceID	name	species	full_name	subfamily	genus	subgenus	clade
alignment/AL_UNC_ROOT_Retroviridae_RT/member/fasta-refseqs-xrv-rt/M37980_ALV_RT	M37980_ALV_RT	ALV	Alpharetrovirus_avileu	Avian leukosis virus - RSA	Glissorthoretrovirinae	Alpharetrovirus	-	II
alignment/AL_UNC_ROOT_Retroviridae_RT/member/fasta-refseqs-xrv-rt/M60609_SRLV-A_RT	M60609_SRLV-A_RT	SRLVA 	Lentivirus_ovivismae	Small ruminant lentivirus genotype A (Visna-Maedi Virus)	Lentiretrovirinae	Lentivirus	Ovilentivirus	II
alignment/AL_UNC_ROOT_Retroviridae_RT/member/fasta-refseqs-xrv-rt/M74895_SFV3_RT	M74895_SFV3_RT	SFV3	Simiispumavirus_chlaetfo	Grivet simian foamy virus	Spumaretrovirinae	Spumavirus	Simispumavirus	III
alignment/AL_UNC_ROOT_Retroviridae_RT/member/fasta-refseqs-xrv-rt/M74895_SFVgri_RT	M74895_SFVgri_RT	-	-	-	-	-	-	-
alignment/AL_UNC_ROOT_Retroviridae_RT/member/fasta-refseqs-xrv-rt/M80216_JSRV_RT	M80216_JSRV_RT	JSRV	Betaretrovirus_ovijaa	Jaagsiekte sheep retrovirus	Glissorthoretrovirinae	Betaretrovirus	Dtype	II
alignment/AL_UNC_ROOT_Retroviridae_RT/member/fasta-refseqs-xrv-rt/MF280817_SFVrmac_RT	MF280817_SFVrmac_RT	SFVrmac	-	Rhesus macaque simian foamy virus	Spumaretrovirinae	Spumavirus	Simispumavirus	III
alignment/AL_UNC_ROOT_Retroviridae_RT/member/fasta-refseqs-xrv-rt/U03982_PLV_RT	U03982_PLV_RT	PLV	-	Puma lentivirus 14	Lentiretrovirinae	Lentivirus	Felilentivirus	II
alignment/AL_UNC_ROOT_Retroviridae_RT/member/fasta-refseqs-xrv-rt/U04327_SFVcpz_RT	U04327_SFVcpz_RT	SFVcpz	Simiispumavirus_pantroverfo	Western chimpanzee simian foamy virus	Spumaretrovirinae	Spumavirus	Simispumavirus	III
alignment/AL_UNC_ROOT_Retroviridae_RT/member/fasta-refseqs-xrv-rt/U09568_LPDV_RT	U09568_LPDV_RT	LPDV	Lymphoproliferative disease virus	Lymphoproliferative disease virus	Glissorthoretrovirinae	Alpharetrovirus	-	II
alignment/AL_UNC_ROOT_Retroviridae_RT/member/fasta-refseqs-xrv-rt/U21603_JDV_RT	U21603_JDV_RT	JDV 	Lentivirus_bovjem	Jembrana disease virus	Lentiretrovirinae	Lentivirus	Bovilentivirus	II
alignment/AL_UNC_ROOT_Retroviridae_RT/member/fasta-refseqs-xrv-rt/U26458_SnRV_RT	U26458_SnRV_RT	SnRV	Snakehead retrovirus	Snakehead retrovirus	Spumaretrovirinae	Omegaretrovirus	-	III
alignment/AL_UNC_ROOT_Retroviridae_RT/member/fasta-refseqs-xrv-rt/U94514_BFV_RT	U94514_BFV_RT	BFV	Bovispumavirus_bostaufo	Bovine foamy virus	Spumaretrovirinae	Spumavirus	Bovispumavirus	III
alignment/AL_UNC_ROOT_Retroviridae_RT/member/fasta-refseqs-xrv-rt/X54482_SFV1_RT	X54482_SFV1_RT	SFV1	Simiispumavirus_maccycfo	Macaque simian foamy virus	Spumaretrovirinae	Spumavirus	Simispumavirus	III
